iter	Passed	Remaining
0	157	157687
1	160	79880
2	161	53796
3	164	40839
4	166	33035
5	168	27915
6	171	24341
7	174	21582
8	176	19440
9	179	17764
10	182	16377
11	184	15193
12	186	14187
13	188	13305
14	191	12567
15	194	11951
16	197	11411
17	199	10909
18	202	10458
19	205	10051
20	208	9698
21	210	9364
22	213	9071
23	216	8790
24	218	8524
25	221	8300
26	227	8190
27	229	7979
28	231	7767
29	234	7593
30	236	7399
31	238	7228
32	240	7054
33	242	6893
34	244	6742
35	247	6617
36	249	6496
37	251	6364
38	253	6243
39	255	6121
40	257	6023
41	259	5912
42	262	5836
43	264	5750
44	267	5668
45	269	5583
46	272	5528
47	275	5461
48	276	5373
49	277	5281
50	279	5204
51	281	5132
52	283	5070
53	286	5015
54	289	4967
55	291	4912
56	293	4851
57	295	4796
58	296	4736
59	298	4683
60	301	4634
61	303	4588
62	305	4540
63	307	4494
64	309	4449
65	311	4406
66	313	4362
67	314	4307
68	315	4257
69	317	4224
70	319	4178
71	321	4138
72	323	4102
73	325	4071
74	327	4037
75	329	4005
76	332	3987
77	335	3961
78	336	3928
79	339	3900
80	341	3873
81	343	3848
82	346	3832
83	348	3802
84	350	3769
85	352	3751
86	354	3719
87	356	3694
88	359	3675
89	361	3658
90	364	3639
91	366	3617
92	368	3591
93	370	3570
94	372	3548
95	375	3532
96	378	3520
97	381	3507
98	384	3495
99	386	3482
100	390	3472
101	391	3451
102	394	3431
103	396	3416
104	399	3404
105	402	3395
106	405	3381
107	408	3370
108	410	3353
109	412	3337
110	415	3324
111	417	3309
112	419	3294
113	422	3283
114	424	3270
115	427	3255
116	429	3241
117	431	3227
118	433	3209
119	435	3194
120	438	3182
121	440	3167
122	440	3143
123	443	3131
124	445	3120
125	448	3107
126	450	3096
127	452	3080
128	455	3072
129	456	3054
130	458	3041
131	461	3034
132	463	3020
133	465	3006
134	467	2997
135	470	2987
136	472	2977
137	474	2964
138	477	2955
139	479	2944
140	482	2937
141	484	2926
142	486	2917
143	487	2900
144	488	2882
145	490	2870
146	493	2860
147	495	2854
148	497	2841
149	499	2830
150	501	2820
151	503	2811
152	506	2804
153	509	2797
154	511	2789
155	513	2780
156	515	2768
157	517	2757
158	519	2747
159	521	2738
160	523	2730
161	526	2722
162	528	2714
163	530	2706
164	533	2697
165	535	2688
166	537	2680
167	539	2672
168	542	2666
169	544	2660
170	546	2651
171	548	2641
172	550	2633
173	553	2626
174	555	2617
175	557	2608
176	559	2600
177	561	2591
178	563	2583
179	564	2573
180	566	2561
181	568	2554
182	570	2545
183	572	2538
184	574	2530
185	576	2521
186	578	2512
187	580	2505
188	581	2494
189	582	2483
190	583	2472
191	584	2461
192	585	2450
193	587	2439
194	588	2428
195	589	2417
196	590	2407
197	591	2395
198	592	2384
199	593	2374
200	594	2364
201	595	2354
202	597	2344
203	598	2334
204	599	2323
205	600	2313
206	601	2303
207	602	2293
208	603	2283
209	604	2272
210	605	2262
211	606	2252
212	607	2243
213	608	2234
214	609	2224
215	610	2216
216	611	2207
217	612	2198
218	613	2188
219	614	2179
220	615	2170
221	616	2161
222	617	2153
223	618	2144
224	619	2135
225	620	2126
226	621	2117
227	622	2109
228	623	2100
229	625	2092
230	626	2084
231	627	2076
232	628	2068
233	629	2059
234	630	2052
235	631	2043
236	632	2035
237	633	2027
238	634	2021
239	635	2013
240	637	2006
241	638	1998
242	639	1990
243	640	1983
244	641	1975
245	642	1968
246	643	1961
247	644	1954
248	645	1946
249	646	1939
250	647	1932
251	648	1924
252	649	1917
253	650	1910
254	651	1903
255	652	1896
256	653	1890
257	654	1883
258	655	1876
259	656	1869
260	658	1863
261	658	1856
262	660	1849
263	660	1842
264	661	1836
265	662	1829
266	663	1822
267	664	1816
268	665	1809
269	666	1802
270	667	1796
271	668	1789
272	669	1783
273	670	1777
274	671	1771
275	673	1765
276	674	1759
277	675	1754
278	676	1748
279	677	1742
280	679	1737
281	680	1732
282	681	1726
283	682	1720
284	683	1714
285	684	1708
286	685	1703
287	686	1697
288	687	1692
289	688	1686
290	689	1681
291	691	1675
292	692	1669
293	693	1664
294	694	1659
295	695	1653
296	696	1647
297	697	1642
298	698	1637
299	699	1631
300	700	1626
301	701	1621
302	702	1616
303	703	1610
304	704	1605
305	705	1600
306	706	1595
307	707	1590
308	708	1585
309	710	1580
310	711	1575
311	712	1570
312	713	1565
313	714	1560
314	715	1555
315	716	1550
316	717	1545
317	718	1540
318	719	1535
319	720	1530
320	721	1525
321	722	1520
322	723	1515
323	724	1510
324	725	1506
325	726	1502
326	727	1497
327	728	1493
328	729	1488
329	730	1483
330	731	1479
331	732	1474
332	734	1470
333	735	1465
334	736	1461
335	737	1456
336	738	1452
337	739	1447
338	740	1443
339	741	1439
340	742	1434
341	743	1430
342	744	1425
343	745	1421
344	746	1417
345	747	1413
346	748	1409
347	750	1405
348	751	1401
349	752	1397
350	753	1393
351	755	1390
352	756	1386
353	757	1382
354	758	1378
355	759	1374
356	761	1370
357	762	1366
358	763	1362
359	764	1359
360	766	1356
361	767	1352
362	768	1348
363	769	1344
364	770	1340
365	771	1337
366	773	1333
367	774	1329
368	775	1325
369	776	1322
370	777	1318
371	778	1314
372	780	1311
373	781	1307
374	782	1304
375	783	1300
376	785	1297
377	786	1293
378	787	1290
379	788	1286
380	789	1282
381	790	1279
382	791	1275
383	792	1272
384	794	1268
385	795	1264
386	796	1261
387	797	1257
388	798	1253
389	799	1249
390	800	1246
391	801	1242
392	802	1239
393	803	1235
394	804	1231
395	805	1228
396	806	1224
397	807	1221
398	808	1218
399	809	1214
400	810	1211
401	811	1207
402	812	1204
403	813	1200
404	814	1197
405	815	1193
406	817	1190
407	818	1187
408	819	1184
409	820	1181
410	822	1178
411	823	1175
412	824	1172
413	826	1169
414	827	1166
415	828	1163
416	829	1159
417	830	1156
418	832	1153
419	833	1150
420	834	1147
421	835	1144
422	836	1141
423	837	1138
424	839	1135
425	840	1132
426	841	1128
427	842	1125
428	843	1122
429	844	1118
430	845	1115
431	846	1112
